alcaldia,division,Habitantes
"Álvaro Obregón","Áreas con vegetación reminisciente",727034
"Álvaro Obregón","Áreas verdes complementarias o ligadas a la red vial",727034
"Álvaro Obregón","Áreas verdes urbanas fragmentadas",727034
"Álvaro Obregón","Equipamientos urbanos con vegetación",727034
"Álvaro Obregón","Parques, arboledas y alamedas",727034
Azcapotzalco,"Áreas verdes complementarias o ligadas a la red vial",414711
Azcapotzalco,"Áreas verdes urbanas fragmentadas",414711
Azcapotzalco,"Equipamientos urbanos con vegetación",414711
Azcapotzalco,"Parques, arboledas y alamedas",414711
Azcapotzalco,"Plazas y jardines",414711
"Benito Juárez","Áreas con categoría de protección",385439
"Benito Juárez","Áreas con vegetación reminisciente",385439
"Benito Juárez","Áreas verdes complementarias o ligadas a la red vial",385439
"Benito Juárez","Áreas verdes con estructura urbana",385439
"Benito Juárez","Áreas verdes urbanas fragmentadas",385439
"Benito Juárez","Equipamientos urbanos con vegetación",385439
"Benito Juárez","Parques, arboledas y alamedas",385439
"Benito Juárez","Plazas y jardines",385439
Coyoacán,"Áreas verdes complementarias o ligadas a la red vial",620416
Coyoacán,"Equipamientos urbanos con vegetación",620416
Coyoacán,"Parques, arboledas y alamedas",620416
Coyoacán,"Plazas y jardines",620416
"Cuajimalpa de Morelos","Áreas con categoría de protección",186391
"Cuajimalpa de Morelos","Áreas verdes complementarias o ligadas a la red vial",186391
"Cuajimalpa de Morelos","Áreas verdes con estructura urbana",186391
"Cuajimalpa de Morelos","Áreas verdes urbanas fragmentadas",186391
"Cuajimalpa de Morelos","Equipamientos urbanos con vegetación",186391
"Cuajimalpa de Morelos","Parques, arboledas y alamedas",186391
"Cuajimalpa de Morelos","Plazas y jardines",186391
Cuauhtémoc,"Áreas verdes complementarias o ligadas a la red vial",531831
Cuauhtémoc,"Áreas verdes urbanas fragmentadas",531831
Cuauhtémoc,"Equipamientos urbanos con vegetación",531831
Cuauhtémoc,"Parques, arboledas y alamedas",531831
Cuauhtémoc,"Plazas y jardines",531831
"Gustavo A. Madero","Áreas con vegetación reminisciente",1185772
"Gustavo A. Madero","Áreas verdes complementarias o ligadas a la red vial",1185772
"Gustavo A. Madero","Áreas verdes urbanas fragmentadas",1185772
"Gustavo A. Madero","Equipamientos urbanos con vegetación",1185772
"Gustavo A. Madero","Parques, arboledas y alamedas",1185772
"Gustavo A. Madero","Plazas y jardines",1185772
Iztacalco,"Áreas verdes complementarias o ligadas a la red vial",384326
Iztacalco,"Áreas verdes con estructura urbana",384326
Iztacalco,"Áreas verdes urbanas fragmentadas",384326
Iztacalco,"Equipamientos urbanos con vegetación",384326
Iztacalco,"Parques, arboledas y alamedas",384326
Iztacalco,"Plazas y jardines",384326
Iztapalapa,"Áreas verdes complementarias o ligadas a la red vial",1815786
Iztapalapa,"Áreas verdes con estructura urbana",1815786
Iztapalapa,"Áreas verdes urbanas fragmentadas",1815786
Iztapalapa,"Equipamientos urbanos con vegetación",1815786
Iztapalapa,"Parques, arboledas y alamedas",1815786
Iztapalapa,"Plazas y jardines",1815786
"La Magdalena Contreras","Áreas verdes complementarias o ligadas a la red vial",239086
"La Magdalena Contreras","Áreas verdes con estructura urbana",239086
"La Magdalena Contreras","Equipamientos urbanos con vegetación",239086
"La Magdalena Contreras","Parques, arboledas y alamedas",239086
"La Magdalena Contreras","Plazas y jardines",239086
"Miguel Hidalgo","Áreas con categoría de protección",372889
"Miguel Hidalgo","Áreas verdes complementarias o ligadas a la red vial",372889
"Miguel Hidalgo","Áreas verdes con estructura urbana",372889
"Miguel Hidalgo","Áreas verdes urbanas fragmentadas",372889
"Miguel Hidalgo","Equipamientos urbanos con vegetación",372889
"Miguel Hidalgo","Parques, arboledas y alamedas",372889
"Miguel Hidalgo","Plazas y jardines",372889
"Milpa Alta","Áreas con vegetación reminisciente",130582
"Milpa Alta","Áreas verdes complementarias o ligadas a la red vial",130582
"Milpa Alta","Áreas verdes con estructura urbana",130582
"Milpa Alta","Áreas verdes urbanas fragmentadas",130582
"Milpa Alta","Equipamientos urbanos con vegetación",130582
"Milpa Alta","Parques, arboledas y alamedas",130582
"Milpa Alta","Plazas y jardines",130582
Tláhuac,"Áreas con vegetación reminisciente",360265
Tláhuac,"Áreas verdes complementarias o ligadas a la red vial",360265
Tláhuac,"Áreas verdes con estructura urbana",360265
Tláhuac,"Áreas verdes urbanas fragmentadas",360265
Tláhuac,"Equipamientos urbanos con vegetación",360265
Tláhuac,"Parques, arboledas y alamedas",360265
Tláhuac,"Plazas y jardines",360265
Tlalpan,"Áreas verdes complementarias o ligadas a la red vial",650567
Tlalpan,"Equipamientos urbanos con vegetación",650567
Tlalpan,"Parques, arboledas y alamedas",650567
Tlalpan,"Plazas y jardines",650567
"Total del Distrito Federal",NULL,8851080
"Venustiano Carranza",NULL,430978
Xochimilco,"Áreas verdes complementarias o ligadas a la red vial",415007
Xochimilco,"Áreas verdes con estructura urbana",415007
Xochimilco,"Áreas verdes urbanas fragmentadas",415007
Xochimilco,"Equipamientos urbanos con vegetación",415007
Xochimilco,"Parques, arboledas y alamedas",415007
Xochimilco,"Plazas y jardines",415007
